method,candidate_config,seed,run_id,dataset_manifest_hash,config_hash,code_commit,optimizer,learning_rate,batch_size,sequence_length,optimizer_updates,checkpoint_schedule,evaluation_schedule,resolved_coefficients,decoder_prefix_stop_gradient,predictor_prefix_stop_gradient,dynamics_target_stop_gradient,checkpoint_final_exists,checkpoint_final_load_pass,model_derived_metrics,native_writer_pass,training_wall_clock_seconds,status
hts_full,hier_x3,0,synthetic_tuning_v11_hier_x3_seed0,5670241265b225d4cdab4e78131192fc24822c8dd4cb5b5617b3364be3dae9eb,1c6545be46bcff2b,e3f02248693a79dc8b0ebd62c93683888ddaccfe,sgd,0.05,32,64,250,"initial,1,100,200,final",final_model_derived,"{""lambda_hier"": 3.0, ""lambda_sdyn"": 1.0, ""lambda_sparse"": 1.0, ""lambda_temp"": 0.01, ""lambda_vc"": 0.01}",True,False,True,True,True,True,True,35.954,pass
hts_full,hier_x3,1,synthetic_tuning_v11_hier_x3_seed1,5670241265b225d4cdab4e78131192fc24822c8dd4cb5b5617b3364be3dae9eb,63949b74eaa8f98c,e3f02248693a79dc8b0ebd62c93683888ddaccfe,sgd,0.05,32,64,250,"initial,1,100,200,final",final_model_derived,"{""lambda_hier"": 3.0, ""lambda_sdyn"": 1.0, ""lambda_sparse"": 1.0, ""lambda_temp"": 0.01, ""lambda_vc"": 0.01}",True,False,True,True,True,True,True,36.546,pass
hts_full,hier_x3,2,synthetic_tuning_v11_hier_x3_seed2,5670241265b225d4cdab4e78131192fc24822c8dd4cb5b5617b3364be3dae9eb,d08081fb7d557f20,e3f02248693a79dc8b0ebd62c93683888ddaccfe,sgd,0.05,32,64,250,"initial,1,100,200,final",final_model_derived,"{""lambda_hier"": 3.0, ""lambda_sdyn"": 1.0, ""lambda_sparse"": 1.0, ""lambda_temp"": 0.01, ""lambda_vc"": 0.01}",True,False,True,True,True,True,True,36.511,pass
hts_full,hier_x3,3,synthetic_tuning_v11_hier_x3_seed3,5670241265b225d4cdab4e78131192fc24822c8dd4cb5b5617b3364be3dae9eb,fcd616fb6bbfdd57,e3f02248693a79dc8b0ebd62c93683888ddaccfe,sgd,0.05,32,64,250,"initial,1,100,200,final",final_model_derived,"{""lambda_hier"": 3.0, ""lambda_sdyn"": 1.0, ""lambda_sparse"": 1.0, ""lambda_temp"": 0.01, ""lambda_vc"": 0.01}",True,False,True,True,True,True,True,35.776,pass
hts_full,hier_x3,4,synthetic_tuning_v11_hier_x3_seed4,5670241265b225d4cdab4e78131192fc24822c8dd4cb5b5617b3364be3dae9eb,9d25d3e1a3a35d10,e3f02248693a79dc8b0ebd62c93683888ddaccfe,sgd,0.05,32,64,250,"initial,1,100,200,final",final_model_derived,"{""lambda_hier"": 3.0, ""lambda_sdyn"": 1.0, ""lambda_sparse"": 1.0, ""lambda_temp"": 0.01, ""lambda_vc"": 0.01}",True,False,True,True,True,True,True,35.878,pass
hts_full,temp_003_hier_x3,0,synthetic_tuning_v11_temp_003_hier_x3_seed0,5670241265b225d4cdab4e78131192fc24822c8dd4cb5b5617b3364be3dae9eb,9494f736fa01e97a,e3f02248693a79dc8b0ebd62c93683888ddaccfe,sgd,0.05,32,64,250,"initial,1,100,200,final",final_model_derived,"{""lambda_hier"": 3.0, ""lambda_sdyn"": 1.0, ""lambda_sparse"": 1.0, ""lambda_temp"": 0.003, ""lambda_vc"": 0.01}",True,False,True,True,True,True,True,37.373,pass
hts_full,temp_003_hier_x3,1,synthetic_tuning_v11_temp_003_hier_x3_seed1,5670241265b225d4cdab4e78131192fc24822c8dd4cb5b5617b3364be3dae9eb,5d2276539fb4e423,e3f02248693a79dc8b0ebd62c93683888ddaccfe,sgd,0.05,32,64,250,"initial,1,100,200,final",final_model_derived,"{""lambda_hier"": 3.0, ""lambda_sdyn"": 1.0, ""lambda_sparse"": 1.0, ""lambda_temp"": 0.003, ""lambda_vc"": 0.01}",True,False,True,True,True,True,True,36.291,pass
hts_full,temp_003_hier_x3,2,synthetic_tuning_v11_temp_003_hier_x3_seed2,5670241265b225d4cdab4e78131192fc24822c8dd4cb5b5617b3364be3dae9eb,67a798a8b23e7cd1,e3f02248693a79dc8b0ebd62c93683888ddaccfe,sgd,0.05,32,64,250,"initial,1,100,200,final",final_model_derived,"{""lambda_hier"": 3.0, ""lambda_sdyn"": 1.0, ""lambda_sparse"": 1.0, ""lambda_temp"": 0.003, ""lambda_vc"": 0.01}",True,False,True,True,True,True,True,35.991,pass
hts_full,temp_003_hier_x3,3,synthetic_tuning_v11_temp_003_hier_x3_seed3,5670241265b225d4cdab4e78131192fc24822c8dd4cb5b5617b3364be3dae9eb,83f03659e09a2fd6,e3f02248693a79dc8b0ebd62c93683888ddaccfe,sgd,0.05,32,64,250,"initial,1,100,200,final",final_model_derived,"{""lambda_hier"": 3.0, ""lambda_sdyn"": 1.0, ""lambda_sparse"": 1.0, ""lambda_temp"": 0.003, ""lambda_vc"": 0.01}",True,False,True,True,True,True,True,36.593,pass
hts_full,temp_003_hier_x3,4,synthetic_tuning_v11_temp_003_hier_x3_seed4,5670241265b225d4cdab4e78131192fc24822c8dd4cb5b5617b3364be3dae9eb,9f679b4eaa50c264,e3f02248693a79dc8b0ebd62c93683888ddaccfe,sgd,0.05,32,64,250,"initial,1,100,200,final",final_model_derived,"{""lambda_hier"": 3.0, ""lambda_sdyn"": 1.0, ""lambda_sparse"": 1.0, ""lambda_temp"": 0.003, ""lambda_vc"": 0.01}",True,False,True,True,True,True,True,36.153,pass
