config_name,seed,level,horizon,nrmse,predictive_utility_per_active_feature
temp_001,4,2,2,1.0071884873126276,0.062053926100742375
temp_001,4,3,4,1.0068262645996053,0.04138416737270284
temp_001,4,4,8,1.0052721267967446,0.031086110076345538
temp_001,4,5,16,1.0063750547502048,0.024841633221915373
temp_001,4,6,32,1.0087058637959914,0.020653526540065806
hier_x3,0,1,1,1.004826926009185,0.12439953250551922
hier_x3,0,2,2,1.0060687693334358,0.06212298986537679
hier_x3,0,3,4,1.00484539503749,0.041465748716333344
hier_x3,0,4,8,1.0060010790191702,0.031063584962315066
hier_x3,0,5,16,1.0072567962067887,0.024819887131009796
hier_x3,0,6,32,1.0068365153521572,0.020691873021446518
hier_x3,1,1,1,1.0050324712715637,0.12437409080562621
hier_x3,1,2,2,1.005334426629065,0.06216836736677794
hier_x3,1,3,4,1.006412081175371,0.04140119880194045
hier_x3,1,4,8,1.006732505561177,0.031041016176268366
hier_x3,1,5,16,1.0054869507575541,0.024863574783291424
hier_x3,1,6,32,1.0064233039820443,0.02070036856916068
hier_x3,2,1,1,1.0056880775921087,0.12429301155077604
hier_x3,2,2,2,1.0042460794874246,0.06223574205338513
hier_x3,2,3,4,1.0062601756267773,0.04140744874799434
hier_x3,2,4,8,1.0069094194112553,0.031035562273886968
hier_x3,2,5,16,1.007869101934657,0.02480480842781071
hier_x3,2,6,32,1.0063066574874873,0.020702768061811518
hier_x3,3,1,1,1.0052335097375618,0.12434921700650176
hier_x3,3,2,2,1.0042188619720278,0.06223742883933455
hier_x3,3,3,4,1.0074511186624941,0.04135849956149852
hier_x3,3,4,8,1.0071952033229203,0.03102675617120167
hier_x3,3,5,16,1.008530363842817,0.024788544688476237
hier_x3,3,6,32,1.007675398058847,0.020674647182176688
hier_x3,4,1,1,1.0045601413371639,0.12443256973950065
hier_x3,4,2,2,1.0073631919487938,0.06204316423385858
hier_x3,4,3,4,1.0065368575771245,0.04139606645872444
hier_x3,4,4,8,1.0055836259583462,0.031076480546813372
hier_x3,4,5,16,1.0061717187017383,0.024846653438088874
hier_x3,4,6,32,1.0084396093353092,0.02065897961183934
temp_003_hier_x3,0,1,1,1.00482931196021,0.1243992371208323
temp_003_hier_x3,0,2,2,1.0060703599674525,0.06212289164665892
temp_003_hier_x3,0,3,4,1.0048482228312974,0.04146563202548917
temp_003_hier_x3,0,4,8,1.0060028463903,0.031063530389026903
temp_003_hier_x3,0,5,16,1.0072594472634833,0.024819821806303134
temp_003_hier_x3,0,6,32,1.006837752511948,0.020691847596145143
temp_003_hier_x3,1,1,1,1.005033973537024,0.12437390489857683
temp_003_hier_x3,1,2,2,1.0053370776857595,0.06216820342985563
temp_003_hier_x3,1,3,4,1.006413936915057,0.04140112246173408
temp_003_hier_x3,1,4,8,1.0067352449864282,0.031040931710621684
temp_003_hier_x3,1,5,16,1.0054889832343532,0.024863524524522087
temp_003_hier_x3,1,6,32,1.0064253364588434,0.020700326764749248
temp_003_hier_x3,2,1,1,1.0056903751745772,0.12429272759315749
temp_003_hier_x3,2,2,2,1.0042479352271108,0.06223562704858173
temp_003_hier_x3,2,3,4,1.006261942997907,0.041407376021076706
temp_003_hier_x3,2,4,8,1.006911540256611,0.031035496904065037
temp_003_hier_x3,2,5,16,1.0078715762542385,0.024804747532132496
temp_003_hier_x3,2,6,32,1.006309750386964,0.020702704431721015
temp_003_hier_x3,3,1,1,1.005235365477248,0.1243489874485449
temp_003_hier_x3,3,2,2,1.0042206293431575,0.062237319305003515
temp_003_hier_x3,3,3,4,1.007454034824858,0.04135837984576397
temp_003_hier_x3,3,4,8,1.0071970590626065,0.031026699005047117
temp_003_hier_x3,3,5,16,1.0085326614252854,0.024788488216605904
temp_003_hier_x3,3,6,32,1.0076773421670897,0.020674607294654847
temp_003_hier_x3,4,1,1,1.0045614668655112,0.12443240554954936
temp_003_hier_x3,4,2,2,1.0073654895312625,0.06204302272684068
temp_003_hier_x3,4,3,4,1.0065392435281495,0.04139596833141566
temp_003_hier_x3,4,4,8,1.0055851282238062,0.03107643412098425
temp_003_hier_x3,4,5,16,1.006173486072868,0.024846609794265465
temp_003_hier_x3,4,6,32,1.008443409183238,0.0206589017681248
