method,seed,level,horizon,nrmse
matryoshka_only,1,6,32,1.0077637666153298
matryoshka_only,2,1,1,1.006480920280871
matryoshka_only,2,2,2,1.0050975105291349
matryoshka_only,2,3,4,1.007029423910959
matryoshka_only,2,4,8,1.007742204687548
matryoshka_only,2,5,16,1.0092966959646343
matryoshka_only,2,6,32,1.0077970815611237
matryoshka_only,3,1,1,1.006127180949271
matryoshka_only,3,2,2,1.005326208353312
matryoshka_only,3,3,4,1.0087865442880601
matryoshka_only,3,4,8,1.0083067913949157
matryoshka_only,3,5,16,1.0096789783399784
matryoshka_only,3,6,32,1.0092519814750542
matryoshka_only,4,1,1,1.0054060935283724
matryoshka_only,4,2,2,1.0082748903460255
matryoshka_only,4,3,4,1.0079868972204484
matryoshka_only,4,4,8,1.0066068454738588
matryoshka_only,4,5,16,1.0074412213841681
matryoshka_only,4,6,32,1.0100356338339425
dense_multistride_no_sparse,0,1,1,1.0122789580088112
dense_multistride_no_sparse,0,2,2,1.0143352059496062
dense_multistride_no_sparse,0,3,4,1.017191896275021
dense_multistride_no_sparse,0,4,8,1.0114869106370572
dense_multistride_no_sparse,0,5,16,1.0178391959512565
dense_multistride_no_sparse,0,6,32,1.017993399082319
dense_multistride_no_sparse,1,1,1,1.010184799957285
dense_multistride_no_sparse,1,2,2,1.014367195367053
dense_multistride_no_sparse,1,3,4,1.012526301598406
dense_multistride_no_sparse,1,4,8,1.011773224760061
dense_multistride_no_sparse,1,5,16,1.0130335371126167
dense_multistride_no_sparse,1,6,32,1.0126828906804934
dense_multistride_no_sparse,2,1,1,1.0110876614988684
dense_multistride_no_sparse,2,2,2,1.0114320337634815
dense_multistride_no_sparse,2,3,4,1.0073760937580403
dense_multistride_no_sparse,2,4,8,1.0107570747290668
dense_multistride_no_sparse,2,5,16,1.0186177229338689
dense_multistride_no_sparse,2,6,32,1.011459074541765
dense_multistride_no_sparse,3,1,1,1.0095449232397942
dense_multistride_no_sparse,3,2,2,1.0054761697936632
dense_multistride_no_sparse,3,3,4,1.0150066302417615
dense_multistride_no_sparse,3,4,8,1.0150174112056523
dense_multistride_no_sparse,3,5,16,1.01889405140999
dense_multistride_no_sparse,3,6,32,1.0173361137592007
dense_multistride_no_sparse,4,1,1,1.0057533819553492
dense_multistride_no_sparse,4,2,2,1.01071227187093
dense_multistride_no_sparse,4,3,4,1.0119101076540526
dense_multistride_no_sparse,4,4,8,1.008556609304092
dense_multistride_no_sparse,4,5,16,1.0130666753212976
dense_multistride_no_sparse,4,6,32,1.0192360377235778
hts_no_temp,0,1,1,1.011572186294063
hts_no_temp,0,2,2,1.0136119093147957
hts_no_temp,0,3,4,1.0155511572868074
hts_no_temp,0,4,8,1.0098535062390317
hts_no_temp,0,5,16,1.0142922588311556
hts_no_temp,0,6,32,1.014537304838282
hts_no_temp,1,1,1,1.009523449680569
hts_no_temp,1,2,2,1.0129939479993124
hts_no_temp,1,3,4,1.0123480622199805
hts_no_temp,1,4,8,1.0109417650121155
hts_no_temp,1,5,16,1.0115662656007784
hts_no_temp,1,6,32,1.010644316450995
hts_no_temp,2,1,1,1.0107113881853653
hts_no_temp,2,2,2,1.0096882570384091
hts_no_temp,2,3,4,1.007780468272505
hts_no_temp,2,4,8,1.010329194178578
hts_no_temp,2,5,16,1.0162580173701123
hts_no_temp,2,6,32,1.0103752341965053
hts_no_temp,3,1,1,1.009133832715037
hts_no_temp,3,2,2,1.0058890276895502
hts_no_temp,3,3,4,1.0148858304250497
hts_no_temp,3,4,8,1.0112119076892832
hts_no_temp,3,5,16,1.0158015054073228
hts_no_temp,3,6,32,1.014309932542452
hts_no_temp,4,1,1,1.0059296772255322
hts_no_temp,4,2,2,1.0106024297552223
hts_no_temp,4,3,4,1.0110273941433472
hts_no_temp,4,4,8,1.0072221557326475
hts_no_temp,4,5,16,1.0103729366140368
hts_no_temp,4,6,32,1.017681281340822
hts_no_vc,0,1,1,1.0045276217083783
hts_no_vc,0,2,2,1.0062686590081997
hts_no_vc,0,3,4,1.0050664931658095
hts_no_vc,0,4,8,1.005984377361995
hts_no_vc,0,5,16,1.0067311800328298
hts_no_vc,0,6,32,1.006789238174439
hts_no_vc,1,1,1,1.0051518571913718
hts_no_vc,1,2,2,1.004868282493619
hts_no_vc,1,3,4,1.006411727701145
hts_no_vc,1,4,8,1.0064901106107451
hts_no_vc,1,5,16,1.0051107658126073
hts_no_vc,1,6,32,1.0063677201600167
hts_no_vc,2,1,1,1.0056003276155212
hts_no_vc,2,2,2,1.004147636915503
hts_no_vc,2,3,4,1.0058151515763307
hts_no_vc,2,4,8,1.006261589523681
hts_no_vc,2,5,16,1.0076794630124453
hts_no_vc,2,6,32,1.0060546303643987
hts_no_vc,3,1,1,1.0051020173255156
hts_no_vc,3,2,2,1.0042817803842436
hts_no_vc,3,3,4,1.0072364714387978
hts_no_vc,3,4,8,1.0068952804422182
hts_no_vc,3,5,16,1.0083697981756878
hts_no_vc,3,6,32,1.007686532496964
hts_no_vc,4,1,1,1.0044749540487146
hts_no_vc,4,2,2,1.0069200236380333
hts_no_vc,4,3,4,1.0066270818732934
hts_no_vc,4,4,8,1.0051264070471049
hts_no_vc,4,5,16,1.006179936977491
hts_no_vc,4,6,32,1.0083196048356056
hts_no_hier,0,1,1,1.011095261194726
hts_no_hier,0,2,2,1.0134022107302623
hts_no_hier,0,3,4,1.0158342017732216
hts_no_hier,0,4,8,1.0095115199254439
hts_no_hier,0,5,16,1.0138151569947058
hts_no_hier,0,6,32,1.014425430245775
hts_no_hier,1,1,1,1.009130916552673
hts_no_hier,1,2,2,1.0126909322191333
hts_no_hier,1,3,4,1.0117972610074242
hts_no_hier,1,4,8,1.0102718429854205
hts_no_hier,1,5,16,1.011069987787572
hts_no_hier,1,6,32,1.0101110122126222
hts_no_hier,2,1,1,1.010348635261004
hts_no_hier,2,2,2,1.0093545773691306
hts_no_hier,2,3,4,1.00701130835688
hts_no_hier,2,4,8,1.0092775199878776
hts_no_hier,2,5,16,1.0160340914479853
hts_no_hier,2,6,32,1.0097437524918802
hts_no_hier,3,1,1,1.0084472973997232
hts_no_hier,3,2,2,1.0049661948542017
hts_no_hier,3,3,4,1.0145555087609175
hts_no_hier,3,4,8,1.0110626531973839
hts_no_hier,3,5,16,1.015466853683923
hts_no_hier,3,6,32,1.0142449816534373
hts_no_hier,4,1,1,1.005260108673063
hts_no_hier,4,2,2,1.0099070575842601
hts_no_hier,4,3,4,1.0106811661390482
hts_no_hier,4,4,8,1.0065941204017252
hts_no_hier,4,5,16,1.010177995578436
hts_no_hier,4,6,32,1.0173924928982367
hts_no_sdyn,0,1,1,1.0129888226230364
hts_no_sdyn,0,2,2,1.0154555425086933
hts_no_sdyn,0,3,4,1.0180551687033002
hts_no_sdyn,0,4,8,1.0114808132066597
hts_no_sdyn,0,5,16,1.015982572579556
hts_no_sdyn,0,6,32,1.0163472696121598
hts_no_sdyn,1,1,1,1.0110149341768833
hts_no_sdyn,1,2,2,1.014402012578307
hts_no_sdyn,1,3,4,1.013811710621003
hts_no_sdyn,1,4,8,1.0123476203771982
hts_no_sdyn,1,5,16,1.0129307644814274
hts_no_sdyn,1,6,32,1.0117435329250828
hts_no_sdyn,2,1,1,1.0121158296535442
hts_no_sdyn,2,2,2,1.0112416878928177
hts_no_sdyn,2,3,4,1.0091775751504959
hts_no_sdyn,2,4,8,1.0118177625125282
hts_no_sdyn,2,5,16,1.0179630002988886
hts_no_sdyn,2,6,32,1.0116687731262983
hts_no_sdyn,3,1,1,1.010593239425348
hts_no_sdyn,3,2,2,1.0067819919528074
hts_no_sdyn,3,3,4,1.0169715934637098
hts_no_sdyn,3,4,8,1.0131707734808342
hts_no_sdyn,3,5,16,1.0173339929138452
hts_no_sdyn,3,6,32,1.0159664011337195
hts_no_sdyn,4,1,1,1.0074508535568247
hts_no_sdyn,4,2,2,1.012435281985229
hts_no_sdyn,4,3,4,1.0129788369761539
hts_no_sdyn,4,4,8,1.009161315336103
hts_no_sdyn,4,5,16,1.011872639386104
hts_no_sdyn,4,6,32,1.0192663481384514
