method,seed,level,prefix_nrmse,marginal_prefix_gain
flat_mh,1,2,1.0052185754515162,-0.002144616497277596
flat_mh,1,3,0.9993577076799168,0.005860867771599332
flat_mh,1,4,1.006437708056751,-0.007080000376834206
flat_mh,1,5,1.0046955219656954,0.0017421860910555864
flat_mh,1,6,1.0059983395939192,-0.001302817628223707
flat_mh,2,1,1.0016369978572741,
flat_mh,2,2,1.0052541879797787,-0.00361719012250461
flat_mh,2,3,1.0083955134256242,-0.0031413254458454443
flat_mh,2,4,1.0071165553076507,0.0012789581179735166
flat_mh,2,5,1.0066226634454691,0.0004938918621815169
flat_mh,2,6,1.0134670732507205,-0.006844409805251361
flat_mh,3,1,1.0007891899263794,
flat_mh,3,2,1.0023697499276283,-0.001580560001248843
flat_mh,3,3,1.0034338840847925,-0.0010641341571642204
flat_mh,3,4,1.0021501540647688,0.0012837300200236879
flat_mh,3,5,1.008544679548967,-0.006394525484198166
flat_mh,3,6,1.0054444454818858,0.0031002340670811535
flat_mh,4,1,1.0015246814219847,
flat_mh,4,2,1.0022544289614184,-0.0007297475394336672
flat_mh,4,3,1.007395092997684,-0.005140664036265674
flat_mh,4,4,1.0047228278496485,0.0026722651480355353
flat_mh,4,5,1.005028317949409,-0.0003054900997605525
flat_mh,4,6,1.013153895086546,-0.008125577137136908
flat_partition_dim_matched,0,1,1.0004969551100913,
flat_partition_dim_matched,0,2,0.999094634487268,0.0014023206228233054
flat_partition_dim_matched,0,3,1.0020892681293523,-0.002994633642084299
flat_partition_dim_matched,0,4,1.0011906482784803,0.0008986198508720289
flat_partition_dim_matched,0,5,0.9996909455064129,0.0014997027720673461
flat_partition_dim_matched,0,6,1.001382673151717,-0.0016917276453041197
flat_partition_dim_matched,1,1,1.0020592228201481,
flat_partition_dim_matched,1,2,1.003364779873623,-0.001305557053474793
flat_partition_dim_matched,1,3,0.9967968752816059,0.00656790459201706
flat_partition_dim_matched,1,4,1.0031178781268104,-0.0063210028452045375
flat_partition_dim_matched,1,5,1.0008014731557304,0.0023164049710799883
flat_partition_dim_matched,1,6,1.0011743884640874,-0.00037291530835692477
flat_partition_dim_matched,2,1,1.0009516113331947,
flat_partition_dim_matched,2,2,1.0034229263837886,-0.0024713150505939474
flat_partition_dim_matched,2,3,1.005847229362334,-0.002424302978545345
flat_partition_dim_matched,2,4,1.003217027647184,0.002630201715150049
flat_partition_dim_matched,2,5,1.0028090300219035,0.0004079976252804318
flat_partition_dim_matched,2,6,1.0080973579160517,-0.005288327894148237
flat_partition_dim_matched,3,1,1.000304841868298,
flat_partition_dim_matched,3,2,1.0016096036047644,-0.00130476173646632
flat_partition_dim_matched,3,3,1.000941625686312,0.0006679779184524115
flat_partition_dim_matched,3,4,0.9985998589395216,0.002341766746790319
flat_partition_dim_matched,3,5,1.0050271691581747,-0.0064273102186530595
flat_partition_dim_matched,3,6,1.0005706544861979,0.00445651467197683
flat_partition_dim_matched,4,1,1.0008950554570457,
flat_partition_dim_matched,4,2,1.0007160207616117,0.00017903469543401052
flat_partition_dim_matched,4,3,1.0054085678479538,-0.004692547086342147
flat_partition_dim_matched,4,4,1.0018252228825821,0.0035833449653717153
flat_partition_dim_matched,4,5,1.0014109510897915,0.00041427179279063253
flat_partition_dim_matched,4,6,1.0095777079742494,-0.008166756884457893
matryoshka_only,0,1,1.000014816265922,
matryoshka_only,0,2,0.9988944797068348,0.001120336559087165
matryoshka_only,0,3,1.0009537321785502,-0.002059252471715456
matryoshka_only,0,4,1.0007873341866933,0.00016639799185691473
matryoshka_only,0,5,1.000944718585789,-0.00015738439909562807
matryoshka_only,0,6,1.0001122867837222,0.0008324318020667132
matryoshka_only,1,1,1.000539725491429,
matryoshka_only,1,2,1.0014984359607093,-0.0009587104692803106
matryoshka_only,1,3,0.9996092045916665,0.001889231369042843
matryoshka_only,1,4,1.001940367111679,-0.002331162520012642
matryoshka_only,1,5,0.9993526706721974,0.002587696439481757
matryoshka_only,1,6,1.0010795690029815,-0.001726898330784099
matryoshka_only,2,1,1.0003084649791139,
matryoshka_only,2,2,1.0020116805367605,-0.0017032155576466312
matryoshka_only,2,3,1.0023057710927348,-0.00029409055597429123
matryoshka_only,2,4,1.0001631870722563,0.0021425840204785107
matryoshka_only,2,5,1.0017750295425,-0.0016118424702438183
matryoshka_only,2,6,1.0023670105023774,-0.0005919809598773362
matryoshka_only,3,1,1.0002390072937184,
matryoshka_only,3,2,1.0000181742710683,0.00022083302265007987
matryoshka_only,3,3,1.0003068743450971,-0.0002887000740288137
matryoshka_only,3,4,0.9999362566192088,0.00037061772588831143
matryoshka_only,3,5,1.0027311773236423,-0.0027949207044334345
matryoshka_only,3,6,0.9993068073913829,0.0034243699322593635
matryoshka_only,4,1,1.000834522995855,
matryoshka_only,4,2,1.0010124089000547,-0.00017788590419964834
matryoshka_only,4,3,1.0042739155827165,-0.0032615066826617856
matryoshka_only,4,4,1.00075525640069,0.003518659182026429
matryoshka_only,4,5,1.0001590337501016,0.0005962226505884516
matryoshka_only,4,6,1.0064680184716246,-0.00630898472152297
dense_multistride_no_sparse,0,1,1.0035700600303323,
dense_multistride_no_sparse,0,2,1.0035169505278863,5.310950244608037e-05
dense_multistride_no_sparse,0,3,1.008305024023786,-0.004788073495899825
dense_multistride_no_sparse,0,4,1.0021373406240788,0.006167683399707302
dense_multistride_no_sparse,0,5,1.0015181421488049,0.0006191984752739188
dense_multistride_no_sparse,0,6,1.0127778868787123,-0.011259744729907428
dense_multistride_no_sparse,1,1,1.0038832381945069,
dense_multistride_no_sparse,1,2,1.0104715559230715,-0.006588317728564608
dense_multistride_no_sparse,1,3,1.0043256995568155,0.006145856366255975
dense_multistride_no_sparse,1,4,1.0103148784724276,-0.0059891789156121256
dense_multistride_no_sparse,1,5,1.0071428891374825,0.0031719893349451134
dense_multistride_no_sparse,1,6,0.9986632191945196,0.008479669942962897
dense_multistride_no_sparse,2,1,1.0062422368098114,
dense_multistride_no_sparse,2,2,1.0076600219300191,-0.0014177851202077374
dense_multistride_no_sparse,2,3,1.0176827836062823,-0.010022761676263148
dense_multistride_no_sparse,2,4,1.0036107095663143,0.014072074039968019
dense_multistride_no_sparse,2,5,1.0081002740784157,-0.004489564512101474
dense_multistride_no_sparse,2,6,1.0121451680142965,-0.004044893935880811
dense_multistride_no_sparse,3,1,1.0049685808052269,
dense_multistride_no_sparse,3,2,1.0086554937187964,-0.0036869129135694845
dense_multistride_no_sparse,3,3,1.0058554476380868,0.002800046080709606
dense_multistride_no_sparse,3,4,0.9997682679933353,0.0060871796447514726
dense_multistride_no_sparse,3,5,1.0064753530618127,-0.006707085068477392
dense_multistride_no_sparse,3,6,1.0083222558923002,-0.0018469028304874957
dense_multistride_no_sparse,4,1,1.00783887988834,
dense_multistride_no_sparse,4,2,1.0114520050572464,-0.003613125168906439
dense_multistride_no_sparse,4,3,1.0121787480657598,-0.0007267430085133864
dense_multistride_no_sparse,4,4,1.004100801580567,0.008077946485192777
dense_multistride_no_sparse,4,5,1.0099687388366851,-0.0058679372561181165
dense_multistride_no_sparse,4,6,1.016842752108358,-0.0068740132716729185
hts_no_temp,0,1,1.002563984014777,
hts_no_temp,0,2,1.0028504748748939,-0.0002864908601167837
hts_no_temp,0,3,1.0082354779698341,-0.005385003094940277
hts_no_temp,0,4,1.0021927477089936,0.0060427302608405675
hts_no_temp,0,5,1.0035923289065658,-0.0013995811975722194
hts_no_temp,0,6,1.009720246455856,-0.006127917549290096
hts_no_temp,1,1,1.0032507844357603,
hts_no_temp,1,2,1.0088355888369078,-0.005584804401147503
hts_no_temp,1,3,1.0043181882295145,0.004517400607393363
hts_no_temp,1,4,1.0088547648136648,-0.004536576584150298
hts_no_temp,1,5,1.0056788872622344,0.0031758775514303395
hts_no_temp,1,6,0.9989154230547211,0.006763464207513281
hts_no_temp,2,1,1.0055073638941014,
hts_no_temp,2,2,1.0077046480510428,-0.002197284156941315
hts_no_temp,2,3,1.0123595501323235,-0.004654902081280721
hts_no_temp,2,4,1.0007304248363185,0.011629125296005016
hts_no_temp,2,5,1.0049464002975497,-0.004215975461231203
hts_no_temp,2,6,1.005610313262404,-0.0006639129648542408
hts_no_temp,3,1,1.0048495483596447,
hts_no_temp,3,2,1.006603399100156,-0.0017538507405112647
hts_no_temp,3,3,1.0042167411266723,0.002386657973483697
hts_no_temp,3,4,1.0009690199388217,0.0032477211878505496
hts_no_temp,3,5,1.0041125545985792,-0.0031435346597574743
hts_no_temp,3,6,1.0054937551364032,-0.0013812005378239789
hts_no_temp,4,1,1.0068978431303561,
hts_no_temp,4,2,1.0102194404314264,-0.0033215973010702893
hts_no_temp,4,3,1.011128399403407,-0.0009089589719806224
hts_no_temp,4,4,1.0030713962661006,0.008057003137306396
hts_no_temp,4,5,1.0082730346063393,-0.005201638340238679
hts_no_temp,4,6,1.0141460972387333,-0.005873062632393955
hts_no_vc,0,1,1.0000749068843302,
hts_no_vc,0,2,0.9988605461811454,0.0012143607031848136
hts_no_vc,0,3,1.0002491696777138,-0.0013886234965684308
hts_no_vc,0,4,1.0003944475845714,-0.00014527790685758823
hts_no_vc,0,5,1.0005784309191683,-0.0001839833345969044
hts_no_vc,0,6,0.9997361902073321,0.0008422407118362507
hts_no_vc,1,1,1.0003207482084648,
hts_no_vc,1,2,1.0011011309307631,-0.0007803827222983006
hts_no_vc,1,3,0.9997694167845695,0.0013317141461935966
hts_no_vc,1,4,1.001700358112272,-0.0019309413277025511
hts_no_vc,1,5,0.9988925355985921,0.0028078225136799473
hts_no_vc,1,6,1.001216451896973,-0.0023239162983809125
hts_no_vc,2,1,1.000098678026024,
hts_no_vc,2,2,1.0016024457516894,-0.0015037677256655169
hts_no_vc,2,3,1.0023994417626065,-0.0007969960109170948
hts_no_vc,2,4,1.000177767884076,0.002221673878530561
hts_no_vc,2,5,1.0020687666242483,-0.0018909987401722894
hts_no_vc,2,6,1.002376642675034,-0.0003078760507857492
hts_no_vc,3,1,0.9999085088924733,
hts_no_vc,3,2,0.9997756909520799,0.00013281794039343708
hts_no_vc,3,3,1.0003338267548243,-0.0005581358027444416
hts_no_vc,3,4,0.9999687762479944,0.00036505050682988927
hts_no_vc,3,5,1.0025594772183966,-0.002590700970402149
hts_no_vc,3,6,0.9992871895718437,0.0032722876465528516
hts_no_vc,4,1,1.000721764717783,
hts_no_vc,4,2,1.0008146400706464,-9.287535286328641e-05
hts_no_vc,4,3,1.003882354508942,-0.0030677144382955657
hts_no_vc,4,4,1.0006858870838513,0.00319646742509061
hts_no_vc,4,5,0.9997507710191518,0.0009351160646995371
hts_no_vc,4,6,1.0057409219888853,-0.005990150969733543
hts_no_hier,0,1,1.0042605719306876,
hts_no_hier,0,2,1.0046722810353403,-0.00041170910465271326
hts_no_hier,0,3,1.0094098077169322,-0.004737526681591886
hts_no_hier,0,4,1.0039900757792943,0.005419731937637895
hts_no_hier,0,5,1.0060896243127657,-0.002099548533471385
hts_no_hier,0,6,1.0136757997811325,-0.007586175468366818
hts_no_hier,1,1,1.00451878485273,
hts_no_hier,1,2,1.0101208211223918,-0.005602036269661825
hts_no_hier,1,3,1.0075340083684747,0.002586812753917034
hts_no_hier,1,4,1.010952634344563,-0.0034186259760882187
hts_no_hier,1,5,1.008480612345517,0.002472021999045948
hts_no_hier,1,6,1.0020051412635809,0.006475471081936135
hts_no_hier,2,1,1.0069787887280943,
hts_no_hier,2,2,1.0089297897181184,-0.0019510009900240988
hts_no_hier,2,3,1.0161334177054717,-0.0072036279873533005
hts_no_hier,2,4,1.003690683109931,0.012442734595540683
hts_no_hier,2,5,1.008804306367913,-0.005113623257982036
hts_no_hier,2,6,1.00874333206394,6.097430397300485e-05
hts_no_hier,3,1,1.0055536690176985,
hts_no_hier,3,2,1.0087427134840445,-0.003189044466346047
hts_no_hier,3,3,1.0064081929588857,0.002334520525158812
hts_no_hier,3,4,1.0034989233423637,0.0029092696165220477
hts_no_hier,3,5,1.006937167137991,-0.0034382437956272938
hts_no_hier,3,6,1.009790764563929,-0.002853597425938048
hts_no_hier,4,1,1.0090203674885132,
hts_no_hier,4,2,1.0125500727401,-0.003529705251586801
hts_no_hier,4,3,1.0132372266353091,-0.000687153895209125
hts_no_hier,4,4,1.0060912149467824,0.007146011688526688
hts_no_hier,4,5,1.0119132005535294,-0.00582198560674696
hts_no_hier,4,6,1.0174683131196989,-0.005555112566169473
hts_no_sdyn,0,1,1.002658803475883,
hts_no_sdyn,0,2,1.002651822359921,6.981115961979256e-06
hts_no_sdyn,0,3,1.0067523001178293,-0.0041004777579083385
hts_no_sdyn,0,4,1.0012190145851112,0.005533285532718146
hts_no_sdyn,0,5,1.0030783773820626,-0.0018593627969514248
hts_no_sdyn,0,6,1.0098854956564784,-0.006807118274415824
hts_no_sdyn,1,1,1.002711912978329,
hts_no_sdyn,1,2,1.0078862454346147,-0.005174332456285624
hts_no_sdyn,1,3,1.0047650680196472,0.0031211774149675353
hts_no_sdyn,1,4,1.0077703058885095,-0.0030052378688623094
hts_no_sdyn,1,5,1.0051805769722286,0.0025897289162808423
hts_no_sdyn,1,6,0.9984253310404684,0.006755245931760245
hts_no_sdyn,2,1,1.0051635218408275,
hts_no_sdyn,2,2,1.0066875259659274,-0.0015240041250998981
hts_no_sdyn,2,3,1.01318721003234,-0.006499684066412659
hts_no_sdyn,2,4,1.0004723002828326,0.012714909749507397
hts_no_sdyn,2,5,1.0054786441132446,-0.005006343830411986
hts_no_sdyn,2,6,1.0046342825560528,0.0008443615571918084
hts_no_sdyn,3,1,1.0040347902688744,
hts_no_sdyn,3,2,1.0069864767925083,-0.0029516865236338674
hts_no_sdyn,3,3,1.0036796370403707,0.003306839752137636
hts_no_sdyn,3,4,1.0001978275463974,0.0034818094939732536
hts_no_sdyn,3,5,1.0036955433805377,-0.003497715834140269
hts_no_sdyn,3,6,1.005670757355038,-0.0019752139745004005
hts_no_sdyn,4,1,1.0068389896717387,
hts_no_sdyn,4,2,1.0098835515482358,-0.003044561876497154
hts_no_sdyn,4,3,1.0102635363411112,-0.00037998479287537634
hts_no_sdyn,4,4,1.0027288797411738,0.0075346565999374615
hts_no_sdyn,4,5,1.007935378352019,-0.005206498610845323
hts_no_sdyn,4,6,1.0136923247011949,-0.005756946349175784
