method,seed,effective_rank,alive_feature_ratio,dead_feature_ratio,topk_utilization_entropy,active_count_audit
flat_partition_dim_matched,4,7.728466828664144,0.9999243418375651,7.565816243493284e-05,0.006674964314970696,7.999176025390625
matryoshka_only,0,7.6977667808532715,0.9998874664306641,0.0001125335693359375,0.008583751151210685,7.9989013671875
matryoshka_only,1,7.666125774383545,0.9998963673909506,0.00010363260904944216,0.008375419116459405,7.998931884765625
matryoshka_only,2,7.759223620096843,0.9998893737792969,0.000110626220703125,0.006891097042624155,7.9991455078125
matryoshka_only,3,7.66068434715271,0.9998874664306641,0.0001125335693359375,0.006891097042624155,7.9991455078125
matryoshka_only,4,7.738573710123698,0.9999059041341146,9.409586588537966e-05,0.005576403605532558,7.99932861328125
dense_multistride_no_sparse,0,7.568725347518921,0.9999306996663412,6.930033365881716e-05,0.003263695062680449,7.9996337890625
dense_multistride_no_sparse,1,7.5459489822387695,0.9999211629231771,7.883707682287966e-05,0.002775391991127611,7.99969482421875
dense_multistride_no_sparse,2,7.624123255411784,0.9999351501464844,6.4849853515625e-05,0.001758773337830729,7.99981689453125
dense_multistride_no_sparse,3,7.58633025487264,0.9999396006266276,6.039937337243284e-05,0.0003477947126199418,7.999969482421875
dense_multistride_no_sparse,4,7.547861019770305,0.9999427795410156,5.7220458984375e-05,0.0014934635052927167,7.999847412109375
hts_no_temp,0,7.6412778695424395,0.9998957316080729,0.00010426839192712034,0.0014934635052927167,7.999847412109375
hts_no_temp,1,7.61821174621582,0.9998893737792969,0.000110626220703125,0.003263695062680449,7.9996337890625
hts_no_temp,2,7.6878306070963545,0.9999078114827474,9.218851725256716e-05,0.0020189721627553114,7.999786376953125
hts_no_temp,3,7.6500288645426435,0.9998976389567057,0.00010236104329430784,0.001758773337830729,7.99981689453125
hts_no_temp,4,7.633432785669963,0.9999097188313802,9.028116861975466e-05,0.0014934635052927167,7.999847412109375
hts_no_vc,0,7.683658679326375,0.9998944600423177,0.00010553995768225466,0.007956110445805353,7.998992919921875
hts_no_vc,1,7.670748790105184,0.9998919169108073,0.00010808308919274534,0.007956110445805353,7.998992919921875
hts_no_vc,2,7.754252036412557,0.9999014536539713,9.854634602868284e-05,0.007956110445805353,7.998992919921875
hts_no_vc,3,7.649689674377441,0.9998868306477865,0.00011316935221350466,0.01062381263037797,7.99859619140625
hts_no_vc,4,7.722119331359863,0.9998881022135416,0.00011189778645837034,0.007745080942752447,7.9990234375
hts_no_hier,0,7.59215784072876,0.9999059041341146,9.409586588537966e-05,0.002274795451003506,7.999755859375
hts_no_hier,1,7.568590561548869,0.9999109903971354,8.900960286462034e-05,0.0035039100381433273,7.999603271484375
hts_no_hier,2,7.638048013051351,0.9999027252197266,9.72747802734375e-05,0.0030209330723992857,7.999664306640625
hts_no_hier,3,7.5911416212717695,0.9999173482259115,8.265177408850466e-05,0.0014934635052927167,7.999847412109375
hts_no_hier,4,7.568782091140747,0.9999205271402994,7.947285970055784e-05,0.0003477947126199418,7.999969482421875
hts_no_sdyn,0,7.5871109167734785,0.9999059041341146,9.409586588537966e-05,0.00252679311372212,7.999725341796875
hts_no_sdyn,1,7.56680695215861,0.9999141693115234,8.58306884765625e-05,0.002274795451003506,7.999755859375
hts_no_sdyn,2,7.636976798375447,0.9999135335286459,8.646647135412966e-05,0.002274795451003506,7.999755859375
hts_no_sdyn,3,7.5919374624888105,0.999902089436849,9.791056315100466e-05,0.0003477947126199418,7.999969482421875
hts_no_sdyn,4,7.569346745808919,0.9999179840087891,8.20159912109375e-05,0.0012220078702386008,7.9998779296875
