method,seed,full_prefix_gain,strict_monotonic_pass,end_to_end_pass,effective_rank,dead_feature_ratio,mean_factor_probe_accuracy,mean_boundary_f1,prefix_nrmse_l1,prefix_nrmse_l2,prefix_nrmse_l3,prefix_nrmse_l4,prefix_nrmse_l5,prefix_nrmse_l6
flat_mh,3,-0.004655167186949916,False,False,7.695100625356038,6.802876790368284e-05,0.580657958984375,0.24544012688342587,1.0007891899263794,1.0023698382961848,1.003433972453349,1.0021501540647688,1.008544679548967,1.0054443571133294
flat_mh,4,-0.011628860190335377,False,False,7.72813606262207,7.692972819006716e-05,0.6197967529296875,0.2613005551149881,1.0015250348962106,1.0022545173299748,1.007395092997684,1.0047226511125356,1.0050282295808526,1.013153895086546
flat_partition_dim_matched,0,-0.0008857180416257382,False,False,7.690130313237508,6.29425048828125e-05,0.5236053466796875,0.32038065027755747,1.0004969551100913,0.999094634487268,1.0020892681293523,1.0011908250155932,0.9996907687693,1.001382673151717
flat_partition_dim_matched,1,0.0008847459875043207,False,True,7.671305576960246,6.993611653649534e-05,0.526763916015625,0.2343378271213323,1.0020592228201481,1.00336460313651,0.9967968752816059,1.0031179664953669,1.0008015615242871,1.0011744768326438
flat_partition_dim_matched,2,-0.007146011688526466,False,False,7.761530160903931,6.739298502600466e-05,0.5575180053710938,0.2827121332275972,1.0009514345960817,1.0034229263837886,1.0058470526252208,1.0032171160157406,1.0028090300219035,1.0080974462846082
flat_partition_dim_matched,3,-0.0002658126178998188,False,False,7.695238749186198,8.20159912109375e-05,0.579071044921875,0.24385408406026965,1.0003047534997416,1.0016096919733208,1.000941625686312,0.9985999473080781,1.0050272575267312,1.0005705661176414
flat_partition_dim_matched,4,-0.00868256414864721,False,False,7.728466828664144,7.565816243493284e-05,0.615325927734375,0.2593180015860428,1.0008952321941587,1.0007162858672813,1.0054086562165103,1.001825399619695,1.001410862721235,1.0095777963428059
matryoshka_only,0,-9.747051780029103e-05,False,False,7.6977667808532715,0.0001125335693359375,0.4887847900390625,0.2799365582870738,1.0000149046344784,0.9988943913382783,1.0009535554414373,1.0007875109238062,1.000944718585789,1.0001123751522787
matryoshka_only,1,-0.0005399318801089237,False,False,7.666125774383545,0.00010363260904944216,0.49990081787109375,0.2117367168913561,1.0005396371228725,1.0014984359607093,0.9996092929602229,1.001940367111679,0.9993527590407538,1.0010795690029815
matryoshka_only,2,-0.002058457154707094,False,False,7.759223620096843,0.000110626220703125,0.5325241088867188,0.2501982553528945,1.0003085533476703,1.0020118572738734,1.0023058594612912,1.0001630987036998,1.0017750295425,1.0023670105023774
matryoshka_only,3,0.0009321115337790342,False,True,7.66068434715271,0.0001125335693359375,0.5349502563476562,0.20182394924662964,1.000238918925162,1.0000180859025118,1.0003068743450971,0.9999361682506523,1.0027311773236423,0.9993068073913829
matryoshka_only,4,-0.005633407107213051,False,False,7.738573710123698,9.409586588537966e-05,0.5787811279296875,0.2204599524187153,1.0008346113644115,1.0010124089000547,1.0042740923198297,1.000755433137803,1.0001589453815452,1.0064680184716246
dense_multistride_no_sparse,0,-0.009207650111267007,False,False,7.568725347518921,6.930033365881716e-05,0.6104049682617188,0.5297383029341792,1.0035702367674453,1.0035170388964427,1.008305024023786,1.002137517361192,1.0015182305173613,1.0127778868787123
dense_multistride_no_sparse,1,0.005219842262874086,False,True,7.5459489822387695,7.883707682287966e-05,0.6285858154296875,0.4869151467089611,1.0038830614573937,1.010471467554515,1.004325964662485,1.0103147901038712,1.0071427124003696,0.9986632191945196
dense_multistride_no_sparse,2,-0.005902931204485151,False,False,7.624123255411784,6.4849853515625e-05,0.6319427490234375,0.5237906423473433,1.0062423251783679,1.0076601102985756,1.0176827836062823,1.0036107979348707,1.0081000973413028,1.012145256382853
dense_multistride_no_sparse,3,-0.003353498349960349,False,False,7.58633025487264,6.039937337243284e-05,0.650726318359375,0.47462331482950043,1.0049687575423398,1.0086556704559093,1.0058553592695303,0.9997681796247788,1.0064753530618127,1.0083222558923002
dense_multistride_no_sparse,4,-0.009003695482905139,False,False,7.547861019770305,5.7220458984375e-05,0.6834487915039062,0.5293417922283902,1.00783887988834,1.01145191668869,1.0121788364343163,1.0041005364748976,1.0099686504681287,1.0168425753712451
hts_no_temp,0,-0.007156085703965864,False,False,7.6412778695424395,0.00010426839192712034,0.5960235595703125,0.42823156225218084,1.002563984014777,1.002850298137781,1.0082354779698341,1.00219283607755,1.0035923289065658,1.009720069718743
hts_no_temp,1,0.004335096275369765,False,True,7.61821174621582,0.000110626220703125,0.6077117919921875,0.3255352894528153,1.0032506076986474,1.0088355004683514,1.0043181882295145,1.0088549415507777,1.0056787105251215,0.9989155114232776
hts_no_temp,2,-0.00010277263118929625,False,False,7.6878306070963545,9.218851725256716e-05,0.6236419677734375,0.33980967486122127,1.0055074522626581,1.0077045596824863,1.0123595501323235,1.000730513204875,1.0049465770346626,1.0056102248938474
hts_no_temp,3,-0.0006438533025325821,False,False,7.6500288645426435,0.00010236104329430784,0.643280029296875,0.3386201427438541,1.0048496367282012,1.006603399100156,1.0042166527581158,1.0009687548331523,1.0041125545985792,1.0054934900307337
hts_no_temp,4,-0.0072483424769336224,False,False,7.633432785669963,9.028116861975466e-05,0.6724624633789062,0.3643933386201427,1.0068978431303561,1.0102192636943135,1.0111284877719635,1.00307166137177,1.0082731229748958,1.0141461856072898
hts_no_vc,0,0.00033898178266755785,False,True,7.683658679326375,0.00010553995768225466,0.5001144409179688,0.39571768437747823,1.0000750836214432,0.9988603694440324,1.00024952315194,1.0003944475845714,1.0005783425506118,0.9997361018387756
hts_no_vc,1,-0.0008957036885082204,False,False,7.670748790105184,0.00010808308919274534,0.5065460205078125,0.32632831086439335,1.0003207482084648,1.0011010425622067,0.9997695935216825,1.001700358112272,0.9988925355985921,1.001216451896973
hts_no_vc,2,-0.0022781413861230337,False,False,7.754252036412557,9.854634602868284e-05,0.547882080078125,0.40800951625693893,1.0000985896574675,1.001602534120246,1.002399530131163,1.0001778562526324,1.0020686782556918,1.0023767310435905
hts_no_vc,3,0.0006214076891860598,False,True,7.649689674377441,0.00011316935221350466,0.5418243408203125,0.31443298969072164,0.9999085088924733,0.9997757793206363,1.0003339151233808,0.9999687762479944,1.0025593004812836,0.9992871012032872
hts_no_vc,4,-0.005019157271102026,False,False,7.722119331359863,0.00011189778645837034,0.5957565307617188,0.37906423473433787,1.0007216763492266,1.0008147284392028,1.003882354508942,1.0006857987152948,0.9997507710191518,1.0057408336203286
hts_no_hier,0,-0.00941505111333174,False,False,7.59215784072876,9.409586588537966e-05,0.6029129028320312,0.5317208564631246,1.0042608370363573,1.0046724577724533,1.0094098960854887,1.0039900757792943,1.0060895359442092,1.013675888149689
hts_no_hier,1,0.0025138203262622394,False,True,7.568590561548869,8.900960286462034e-05,0.6201095581054688,0.4877081681205393,1.0045188732212866,1.0101209094909482,1.0075342734741444,1.010952634344563,1.0084805239769605,1.0020050528950244
hts_no_hier,2,-0.001764720072958692,False,False,7.638048013051351,9.72747802734375e-05,0.6332168579101562,0.5277557494052338,1.0069786119909814,1.008929878086675,1.0161331525998023,1.0036905947413746,1.0088045714735825,1.00874333206394
hts_no_hier,3,-0.004237183914787002,False,False,7.5911416212717695,8.265177408850466e-05,0.6441802978515625,0.478588421887391,1.005553580649142,1.008742625115488,1.0064083696959987,1.0034989233423637,1.006937167137991,1.009790764563929
hts_no_hier,4,-0.008448122368298616,False,False,7.568782091140747,7.947285970055784e-05,0.6786041259765625,0.5261697065820777,1.0090201907514003,1.0125499843715435,1.0132372266353091,1.0060912149467824,1.0119132889220859,1.0174683131196989
hts_no_sdyn,0,-0.007226957286264879,False,False,7.5871109167734785,9.409586588537966e-05,0.6036148071289062,0.5309278350515464,1.0026585383702136,1.002651822359921,1.0067524768549423,1.0012191029536677,1.0030782890135062,1.0098854956564784
hts_no_sdyn,1,0.004286758674973634,False,True,7.56680695215861,8.58306884765625e-05,0.6213912963867188,0.49048374306106274,1.002712089715442,1.0078863338031712,1.0047651563882036,1.007770394257066,1.0051805769722286,0.9984253310404684
hts_no_sdyn,2,0.0005293276533311353,False,True,7.636976798375447,8.646647135412966e-05,0.6304779052734375,0.5265662172878668,1.0051635218408275,1.0066875259659274,1.01318721003234,1.0004723002828326,1.005478732481801,1.0046341941874963
hts_no_sdyn,3,-0.0016357019804940087,False,False,7.5919374624888105,9.791056315100466e-05,0.6433334350585938,0.4777954004758128,1.004034878637431,1.0069863884239518,1.0036797254089271,1.0001979159149539,1.0036954550119812,1.005670580617925
hts_no_sdyn,4,-0.006853246660899703,False,False,7.569346745808919,8.20159912109375e-05,0.6778335571289062,0.5273592386994449,1.0068389896717387,1.0098835515482358,1.0102634479725547,1.0027286146355043,1.0079356434576885,1.0136922363326384
